,NAME_CONTRACT_TYPE,NAME_TYPE_SUITE,ORGANIZATION_TYPE,DAYS_EMPLOYED,OWN_CAR_AGE
8202,Cash loans,Family,Trade: type 7,-6006,
8203,Cash loans,Unaccompanied,Business Entity Type 3,-1615,10.0
8204,Revolving loans,Unaccompanied,Business Entity Type 3,-1001,
8205,Revolving loans,Unaccompanied,XNA,365243,16.0
8206,Cash loans,Unaccompanied,Business Entity Type 2,-3957,
8207,Revolving loans,Unaccompanied,School,-7390,16.0
8208,Revolving loans,Family,Trade: type 7,-178,
8209,Cash loans,Unaccompanied,XNA,365243,
8210,Cash loans,Unaccompanied,Medicine,-3128,
8211,Cash loans,Unaccompanied,Business Entity Type 3,-2266,3.0
8212,Cash loans,Unaccompanied,XNA,365243,
8213,Cash loans,Family,Kindergarten,-92,
8214,Cash loans,Unaccompanied,Agriculture,-1494,
8215,Cash loans,Unaccompanied,Government,-4055,
8216,Cash loans,Unaccompanied,Security Ministries,-5006,
8217,Cash loans,Unaccompanied,Transport: type 4,-3354,
8218,Cash loans,Unaccompanied,Business Entity Type 2,-8062,
8219,Cash loans,Unaccompanied,XNA,365243,
8220,Revolving loans,Unaccompanied,Business Entity Type 3,-1976,6.0
8221,Cash loans,Unaccompanied,Self-employed,-225,
8222,Cash loans,Unaccompanied,Business Entity Type 3,-977,
8223,Revolving loans,Unaccompanied,Business Entity Type 3,-2511,
8224,Cash loans,Other_B,Business Entity Type 3,-1065,1.0
8225,Cash loans,Unaccompanied,Military,-12297,29.0
8226,Cash loans,Unaccompanied,Self-employed,-906,16.0
8227,Cash loans,Unaccompanied,Government,-543,
8228,Revolving loans,Unaccompanied,School,-2715,
8229,Revolving loans,Unaccompanied,Housing,-2034,
8230,Revolving loans,Unaccompanied,Business Entity Type 3,-1301,
8231,Cash loans,"Spouse, partner",Government,-1485,
8232,Cash loans,Children,Business Entity Type 3,-1312,
8233,Cash loans,Unaccompanied,Self-employed,-1699,
8234,Cash loans,Unaccompanied,Business Entity Type 3,-962,
8235,Cash loans,Children,Self-employed,-1352,
8236,Cash loans,Family,Business Entity Type 3,-3141,
8237,Cash loans,Unaccompanied,Business Entity Type 3,-133,8.0
8238,Cash loans,Unaccompanied,Business Entity Type 3,-1715,
8239,Cash loans,Family,Self-employed,-3276,
8240,Cash loans,Family,XNA,365243,
8241,Cash loans,Unaccompanied,Business Entity Type 3,-7544,
8242,Cash loans,Family,XNA,365243,6.0
8243,Cash loans,Unaccompanied,Business Entity Type 3,-2500,
8244,Cash loans,Unaccompanied,Business Entity Type 3,-4233,
8245,Cash loans,"Spouse, partner",Self-employed,-234,
8246,Cash loans,Family,XNA,365243,
8247,Revolving loans,Unaccompanied,Government,-1313,
8248,Cash loans,Unaccompanied,Kindergarten,-9154,0.0
8249,Cash loans,Unaccompanied,XNA,365243,
8250,Cash loans,Unaccompanied,Business Entity Type 3,-1898,3.0
8251,Cash loans,Unaccompanied,XNA,365243,
8252,Cash loans,Unaccompanied,Self-employed,-2204,
8253,Cash loans,Unaccompanied,Government,-2693,
8254,Cash loans,Unaccompanied,Other,-6109,20.0
8255,Cash loans,Unaccompanied,Business Entity Type 3,-1013,
8256,Cash loans,"Spouse, partner",XNA,365243,23.0
8257,Cash loans,Unaccompanied,Business Entity Type 2,-3007,
8258,Cash loans,Unaccompanied,Police,-1605,
8259,Cash loans,Family,Self-employed,-263,13.0
8260,Cash loans,Unaccompanied,Other,-152,2.0
8261,Cash loans,Unaccompanied,XNA,365243,
8262,Cash loans,Unaccompanied,Transport: type 4,-3513,
8263,Cash loans,Unaccompanied,Business Entity Type 1,-92,
8264,Cash loans,Unaccompanied,Construction,-3193,5.0
8265,Cash loans,Unaccompanied,Security,-1485,
8266,Cash loans,Unaccompanied,Self-employed,-1100,
8267,Cash loans,Unaccompanied,Self-employed,-1429,7.0
8268,Cash loans,Family,Kindergarten,-1686,
8269,Cash loans,Unaccompanied,Business Entity Type 3,-2307,
8270,Cash loans,Children,Construction,-1805,12.0
8271,Cash loans,Unaccompanied,Housing,-4784,
8272,Cash loans,Unaccompanied,Emergency,-3083,2.0
8273,Cash loans,Unaccompanied,Medicine,-629,
8274,Cash loans,Unaccompanied,Business Entity Type 3,-480,18.0
8275,Cash loans,Unaccompanied,Business Entity Type 3,-1757,1.0
8276,Cash loans,Unaccompanied,Other,-1602,
8277,Cash loans,Unaccompanied,Self-employed,-1348,16.0
8278,Revolving loans,Unaccompanied,Business Entity Type 3,-1678,
8279,Cash loans,Family,XNA,365243,4.0
8280,Cash loans,Family,Other,-352,
8281,Cash loans,Unaccompanied,Government,-3634,
8282,Cash loans,Unaccompanied,Kindergarten,-13582,
8283,Cash loans,Unaccompanied,Self-employed,-2975,
8284,Cash loans,Unaccompanied,XNA,365243,
8285,Cash loans,Unaccompanied,Business Entity Type 3,-8319,
8286,Cash loans,Unaccompanied,Business Entity Type 2,-8446,
8287,Cash loans,Unaccompanied,School,-5285,
8288,Cash loans,Family,Industry: type 3,-924,
8289,Cash loans,Unaccompanied,XNA,365243,14.0
8290,Cash loans,Unaccompanied,Industry: type 9,-7861,5.0
8291,Cash loans,Unaccompanied,Housing,-3074,
8292,Cash loans,Unaccompanied,Self-employed,-1255,
8293,Cash loans,Family,Business Entity Type 2,-5770,1.0
8294,Cash loans,Unaccompanied,Self-employed,-1720,24.0
8295,Cash loans,Unaccompanied,Business Entity Type 3,-1086,
8296,Cash loans,Unaccompanied,Industry: type 7,-1732,
8297,Cash loans,Unaccompanied,Business Entity Type 3,-440,
8298,Cash loans,Unaccompanied,Other,-1521,
8299,Cash loans,Unaccompanied,XNA,365243,16.0
8300,Cash loans,Unaccompanied,Business Entity Type 2,-3702,6.0
8301,Cash loans,Unaccompanied,Kindergarten,-1501,
8302,Cash loans,Unaccompanied,Business Entity Type 3,-2744,
8303,Cash loans,Unaccompanied,Bank,-3717,4.0
8304,Revolving loans,Unaccompanied,Other,-3341,
8305,Cash loans,Unaccompanied,XNA,365243,
8306,Cash loans,Unaccompanied,Military,-8035,3.0
8307,Cash loans,Unaccompanied,Self-employed,-1967,
8308,Cash loans,Unaccompanied,Housing,-4810,
8309,Cash loans,Family,Business Entity Type 2,-1192,13.0
8310,Revolving loans,Unaccompanied,XNA,365243,4.0
8311,Cash loans,Unaccompanied,Government,-234,
8312,Cash loans,Unaccompanied,XNA,365243,
8313,Cash loans,Unaccompanied,Business Entity Type 3,-1219,
8314,Cash loans,Unaccompanied,Bank,-1568,
8315,Cash loans,Family,Business Entity Type 3,-4663,
8316,Cash loans,Unaccompanied,Kindergarten,-372,
8317,Cash loans,Unaccompanied,XNA,365243,
8318,Cash loans,Unaccompanied,Business Entity Type 2,-1008,
8319,Cash loans,Unaccompanied,Telecom,-2527,28.0
8320,Revolving loans,Unaccompanied,XNA,365243,7.0
8321,Cash loans,Unaccompanied,Industry: type 10,-931,17.0
8322,Cash loans,Unaccompanied,Business Entity Type 3,-716,15.0
8323,Cash loans,Unaccompanied,Self-employed,-552,
8324,Cash loans,Unaccompanied,Other,-933,4.0
8325,Cash loans,Unaccompanied,Self-employed,-681,
8326,Revolving loans,Unaccompanied,Trade: type 6,-2355,11.0
8327,Cash loans,Unaccompanied,XNA,365243,
8328,Cash loans,"Spouse, partner",Self-employed,-3005,
8329,Cash loans,Unaccompanied,Self-employed,-105,6.0
8330,Cash loans,Unaccompanied,Self-employed,-907,10.0
8331,Revolving loans,Unaccompanied,Self-employed,-5433,
8332,Cash loans,Family,Industry: type 3,-388,16.0
8333,Cash loans,Unaccompanied,Other,-1839,6.0
8334,Cash loans,Unaccompanied,Medicine,-1250,
8335,Cash loans,Unaccompanied,Business Entity Type 3,-137,4.0
8336,Cash loans,Unaccompanied,Business Entity Type 3,-3907,12.0
8337,Cash loans,Unaccompanied,Self-employed,-2438,12.0
8338,Cash loans,Children,Medicine,-4189,
8339,Cash loans,Unaccompanied,Business Entity Type 3,-894,
8340,Cash loans,Unaccompanied,Business Entity Type 3,-3857,64.0
8341,Cash loans,Unaccompanied,Self-employed,-232,2.0
8342,Cash loans,Family,Construction,-1540,
8343,Cash loans,Unaccompanied,Self-employed,-5351,7.0
8344,Cash loans,Unaccompanied,Other,-4041,
8345,Cash loans,Unaccompanied,Business Entity Type 3,-1192,
8346,Cash loans,Unaccompanied,XNA,365243,
8347,Cash loans,Unaccompanied,Industry: type 3,-1042,12.0
8348,Cash loans,Unaccompanied,Business Entity Type 3,-1040,6.0
8349,Cash loans,Unaccompanied,Housing,-6272,1.0
8350,Cash loans,Unaccompanied,Business Entity Type 2,-1715,16.0
8351,Cash loans,,Self-employed,-1983,10.0
8352,Cash loans,"Spouse, partner",School,-4963,
8353,Cash loans,Unaccompanied,Self-employed,-1814,
8354,Cash loans,Unaccompanied,Self-employed,-5926,17.0
8355,Cash loans,Unaccompanied,Medicine,-9312,
8356,Cash loans,Unaccompanied,Self-employed,-728,13.0
8357,Cash loans,Unaccompanied,Medicine,-404,4.0
8358,Cash loans,Unaccompanied,Government,-1403,
8359,Cash loans,Unaccompanied,Agriculture,-3414,8.0
8360,Cash loans,Unaccompanied,Business Entity Type 1,-4276,
8361,Cash loans,Unaccompanied,Business Entity Type 3,-2364,1.0
8362,Cash loans,Family,Kindergarten,-2474,2.0
8363,Revolving loans,Unaccompanied,Trade: type 7,-810,2.0
8364,Cash loans,Unaccompanied,Self-employed,-1416,
8365,Cash loans,Unaccompanied,Industry: type 7,-1167,15.0
8366,Cash loans,Unaccompanied,Industry: type 3,-1594,
8367,Cash loans,Family,Business Entity Type 3,-1677,
8368,Cash loans,Unaccompanied,Other,-3163,
8369,Cash loans,Unaccompanied,Self-employed,-1112,
8370,Cash loans,Unaccompanied,Self-employed,-3702,11.0
8371,Cash loans,Family,Self-employed,-2860,12.0
8372,Revolving loans,Unaccompanied,Other,-2339,
8373,Cash loans,Unaccompanied,Self-employed,-4861,5.0
8374,Revolving loans,Unaccompanied,XNA,365243,
8375,Revolving loans,Unaccompanied,Business Entity Type 3,-1465,64.0
8376,Cash loans,Unaccompanied,XNA,365243,
8377,Cash loans,Unaccompanied,Business Entity Type 3,-278,
8378,Cash loans,Unaccompanied,XNA,365243,
8379,Cash loans,Family,Business Entity Type 3,-2492,
8380,Cash loans,Unaccompanied,Business Entity Type 3,-2440,11.0
8381,Cash loans,Unaccompanied,Business Entity Type 3,-5004,
8382,Cash loans,Unaccompanied,Business Entity Type 2,-240,
8383,Cash loans,Family,XNA,365243,
8384,Cash loans,Unaccompanied,Self-employed,-3912,
8385,Cash loans,Unaccompanied,Housing,-2041,17.0
8386,Cash loans,Unaccompanied,Business Entity Type 2,-3490,
8387,Revolving loans,Unaccompanied,Construction,-1892,
8388,Cash loans,Unaccompanied,Agriculture,-8756,
8389,Cash loans,Unaccompanied,Housing,-2211,
8390,Cash loans,Unaccompanied,Government,-2290,
8391,Cash loans,Unaccompanied,Business Entity Type 3,-294,3.0
8392,Cash loans,Unaccompanied,Business Entity Type 3,-2666,
8393,Cash loans,Unaccompanied,Other,-3521,
8394,Cash loans,Unaccompanied,Business Entity Type 3,-667,
8395,Cash loans,Unaccompanied,XNA,365243,7.0
8396,Cash loans,Unaccompanied,Housing,-1714,
8397,Cash loans,Family,Business Entity Type 2,-2498,
8398,Cash loans,Unaccompanied,Self-employed,-96,
8399,Cash loans,Family,XNA,365243,10.0
8400,Cash loans,Unaccompanied,XNA,365243,
8401,Cash loans,Unaccompanied,XNA,365243,19.0
8402,Cash loans,Unaccompanied,Police,-5128,7.0
8403,Revolving loans,Family,Bank,-1324,
8404,Cash loans,Unaccompanied,School,-10315,
8405,Cash loans,Family,XNA,365243,0.0
8406,Revolving loans,Unaccompanied,XNA,365243,
8407,Cash loans,Unaccompanied,Kindergarten,-199,
8408,Cash loans,Unaccompanied,Self-employed,-2065,
8409,Cash loans,"Spouse, partner",Business Entity Type 3,-2440,
8410,Cash loans,Unaccompanied,Government,-2983,14.0
8411,Cash loans,Unaccompanied,Business Entity Type 3,-293,1.0
8412,Cash loans,Unaccompanied,Self-employed,-4188,
8413,Cash loans,Unaccompanied,Bank,-2225,
8414,Cash loans,Unaccompanied,XNA,365243,
8415,Cash loans,Unaccompanied,Business Entity Type 3,-632,3.0
8416,Cash loans,Unaccompanied,Self-employed,-1500,3.0
8417,Cash loans,Unaccompanied,Business Entity Type 3,-3344,
8418,Cash loans,Unaccompanied,XNA,365243,
8419,Cash loans,Family,Postal,-1568,
8420,Cash loans,Unaccompanied,Business Entity Type 3,-321,13.0
8421,Cash loans,Unaccompanied,School,-1287,
8422,Revolving loans,Unaccompanied,Other,-4609,6.0
8423,Cash loans,Family,Trade: type 7,-201,
8424,Cash loans,"Spouse, partner",Kindergarten,-1103,
8425,Cash loans,Family,Trade: type 3,-53,
8426,Cash loans,Unaccompanied,Industry: type 3,-2169,3.0
8427,Cash loans,Unaccompanied,Military,-3280,
8428,Cash loans,Unaccompanied,Business Entity Type 3,-1225,
8429,Cash loans,Family,Business Entity Type 3,-814,2.0
8430,Cash loans,Unaccompanied,Business Entity Type 3,-2094,
8431,Cash loans,Unaccompanied,Self-employed,-2705,
8432,Cash loans,Unaccompanied,Military,-3553,
8433,Cash loans,Unaccompanied,Industry: type 6,-2525,
8434,Cash loans,Family,XNA,365243,
8435,Cash loans,Unaccompanied,Construction,-2454,
8436,Revolving loans,Unaccompanied,Industry: type 9,-1065,
8437,Cash loans,Unaccompanied,XNA,365243,
8438,Cash loans,Family,XNA,365243,
8439,Cash loans,Unaccompanied,XNA,365243,
8440,Cash loans,Unaccompanied,Self-employed,-672,
8441,Cash loans,Unaccompanied,Other,-2015,10.0
8442,Cash loans,Family,Other,-2279,
8443,Cash loans,Family,XNA,365243,
8444,Revolving loans,Unaccompanied,XNA,365243,
8445,Cash loans,Unaccompanied,Housing,-4635,
8446,Cash loans,Unaccompanied,XNA,365243,
8447,Cash loans,Unaccompanied,School,-1164,
8448,Cash loans,Unaccompanied,Housing,-396,
8449,Cash loans,Unaccompanied,XNA,365243,
8450,Cash loans,Family,Business Entity Type 3,-1544,
8451,Cash loans,Unaccompanied,Emergency,-2420,
8452,Cash loans,Unaccompanied,XNA,365243,
8453,Revolving loans,Unaccompanied,Trade: type 3,-643,8.0
8454,Cash loans,Unaccompanied,XNA,365243,
8455,Cash loans,Unaccompanied,XNA,365243,
8456,Cash loans,Unaccompanied,Self-employed,-3821,
8457,Cash loans,"Spouse, partner",Business Entity Type 3,-2165,2.0
8458,Revolving loans,Unaccompanied,Self-employed,-2700,
8459,Revolving loans,Unaccompanied,Trade: type 7,-714,
8460,Revolving loans,Unaccompanied,Self-employed,-2585,
8461,Cash loans,Unaccompanied,Self-employed,-1763,
8462,Cash loans,Unaccompanied,Other,-528,10.0
8463,Cash loans,Family,XNA,365243,
8464,Cash loans,Unaccompanied,XNA,365243,
8465,Cash loans,Family,Medicine,-11763,
8466,Revolving loans,Unaccompanied,Industry: type 2,-8404,1.0
8467,Cash loans,Family,XNA,365243,29.0
8468,Cash loans,Unaccompanied,Self-employed,-2383,
8469,Cash loans,Unaccompanied,Business Entity Type 2,-4556,
8470,Cash loans,Unaccompanied,Self-employed,-199,
8471,Cash loans,Unaccompanied,Business Entity Type 3,-494,9.0
8472,Cash loans,Family,Self-employed,-433,7.0
8473,Cash loans,Unaccompanied,Business Entity Type 3,-96,
8474,Cash loans,Unaccompanied,XNA,365243,
8475,Cash loans,Unaccompanied,Business Entity Type 3,-3253,
8476,Cash loans,Unaccompanied,Medicine,-1047,7.0
8477,Cash loans,"Spouse, partner",Business Entity Type 3,-3449,8.0
8478,Cash loans,Unaccompanied,XNA,365243,
8479,Cash loans,Family,Police,-3312,3.0
8480,Cash loans,Unaccompanied,Business Entity Type 3,-612,
8481,Cash loans,Unaccompanied,Business Entity Type 2,-8150,
8482,Cash loans,Unaccompanied,Industry: type 12,-1669,
8483,Cash loans,Family,Kindergarten,-3596,
8484,Cash loans,Unaccompanied,Business Entity Type 3,-920,
8485,Revolving loans,Unaccompanied,Self-employed,-1100,11.0
8486,Cash loans,Family,XNA,365243,
8487,Cash loans,Unaccompanied,Other,-3431,9.0
8488,Revolving loans,Unaccompanied,Kindergarten,-1727,
8489,Cash loans,Unaccompanied,Self-employed,-1959,
8490,Cash loans,Unaccompanied,Other,-7864,
8491,Cash loans,Family,Bank,-206,
8492,Cash loans,Unaccompanied,Self-employed,-556,
8493,Cash loans,Unaccompanied,Self-employed,-469,0.0
8494,Cash loans,Family,Business Entity Type 3,-373,
8495,Cash loans,Unaccompanied,School,-5321,
8496,Cash loans,Unaccompanied,Self-employed,-231,9.0
8497,Cash loans,Unaccompanied,XNA,365243,14.0
8498,Cash loans,Unaccompanied,Business Entity Type 3,-1712,
8499,Cash loans,Unaccompanied,Medicine,-2203,
8500,Cash loans,Family,Business Entity Type 3,-5265,
8501,Cash loans,Unaccompanied,XNA,365243,
8502,Cash loans,Unaccompanied,Kindergarten,-5988,7.0
8503,Cash loans,Unaccompanied,Postal,-1437,
8504,Cash loans,Unaccompanied,Transport: type 2,-9734,
8505,Cash loans,Family,Business Entity Type 3,-173,
8506,Cash loans,Unaccompanied,Business Entity Type 3,-1126,
8507,Cash loans,Unaccompanied,Business Entity Type 3,-3676,1.0
8508,Cash loans,Family,Cleaning,-195,
8509,Cash loans,Unaccompanied,Business Entity Type 2,-378,
8510,Cash loans,Unaccompanied,XNA,365243,
8511,Cash loans,Unaccompanied,Business Entity Type 3,-1994,11.0
8512,Cash loans,Unaccompanied,Industry: type 7,-1283,13.0
8513,Revolving loans,Unaccompanied,Business Entity Type 3,-2399,14.0
8514,Cash loans,Unaccompanied,XNA,365243,
8515,Cash loans,Family,Security Ministries,-4770,
8516,Cash loans,Unaccompanied,Security,-2503,
8517,Cash loans,Unaccompanied,XNA,365243,
8518,Cash loans,Unaccompanied,Self-employed,-1567,
8519,Cash loans,Unaccompanied,Government,-3606,
8520,Cash loans,Unaccompanied,Other,-7212,8.0
8521,Cash loans,Unaccompanied,XNA,365243,
8522,Cash loans,Unaccompanied,Business Entity Type 3,-968,
8523,Cash loans,Unaccompanied,XNA,365243,6.0
8524,Cash loans,Family,Industry: type 11,-1682,
8525,Cash loans,Unaccompanied,Business Entity Type 2,-11515,
8526,Cash loans,Unaccompanied,Self-employed,-723,
8527,Cash loans,Unaccompanied,Business Entity Type 3,-1750,
8528,Cash loans,Unaccompanied,Industry: type 12,-3681,
8529,Cash loans,Unaccompanied,Business Entity Type 3,-2022,18.0
8530,Cash loans,Unaccompanied,Self-employed,-1187,
8531,Cash loans,Unaccompanied,XNA,365243,
8532,Cash loans,Family,XNA,365243,
8533,Cash loans,Family,Postal,-710,
8534,Cash loans,Unaccompanied,Self-employed,-349,14.0
8535,Cash loans,Family,Business Entity Type 2,-836,
8536,Revolving loans,Unaccompanied,Transport: type 2,-2278,17.0
8537,Revolving loans,Unaccompanied,Medicine,-7006,
8538,Cash loans,Unaccompanied,Business Entity Type 3,-164,
8539,Cash loans,Unaccompanied,Construction,-374,15.0
8540,Cash loans,Unaccompanied,XNA,365243,
8541,Cash loans,Unaccompanied,Business Entity Type 3,-161,
8542,Cash loans,Unaccompanied,XNA,365243,
8543,Cash loans,Unaccompanied,Business Entity Type 1,-5174,8.0
8544,Cash loans,Unaccompanied,Business Entity Type 2,-4167,
8545,Cash loans,Unaccompanied,Industry: type 11,-278,
8546,Cash loans,Unaccompanied,XNA,365243,
8547,Cash loans,Unaccompanied,XNA,365243,
8548,Cash loans,Unaccompanied,Business Entity Type 3,-2583,
8549,Cash loans,Family,XNA,365243,
8550,Revolving loans,"Spouse, partner",Security,-1310,6.0
8551,Cash loans,Unaccompanied,XNA,365243,
8552,Revolving loans,"Spouse, partner",Transport: type 2,-1049,2.0
8553,Cash loans,Unaccompanied,Business Entity Type 1,-4053,3.0
8554,Cash loans,Unaccompanied,Self-employed,-1008,32.0
8555,Cash loans,Unaccompanied,Trade: type 7,-1896,
8556,Cash loans,Family,Self-employed,-1085,
8557,Revolving loans,Unaccompanied,Business Entity Type 2,-94,
8558,Cash loans,Family,Business Entity Type 3,-1364,64.0
8559,Cash loans,Unaccompanied,Self-employed,-2791,
8560,Cash loans,Unaccompanied,Business Entity Type 3,-7059,11.0
8561,Cash loans,Unaccompanied,Self-employed,-1445,
8562,Cash loans,Unaccompanied,Business Entity Type 3,-711,
8563,Cash loans,Unaccompanied,Business Entity Type 3,-876,20.0
8564,Cash loans,Family,Medicine,-2623,
8565,Cash loans,Unaccompanied,XNA,365243,
8566,Cash loans,Unaccompanied,Business Entity Type 3,-107,13.0
8567,Cash loans,Unaccompanied,Trade: type 7,-2822,24.0
8568,Cash loans,Unaccompanied,School,-812,
8569,Cash loans,Unaccompanied,Medicine,-652,3.0
8570,Cash loans,Unaccompanied,Trade: type 3,-1109,
8571,Cash loans,Unaccompanied,Medicine,-808,8.0
8572,Cash loans,Family,Business Entity Type 3,-1267,2.0
8573,Cash loans,Unaccompanied,Business Entity Type 3,-5497,
8574,Cash loans,Unaccompanied,School,-6082,
8575,Cash loans,Unaccompanied,Other,-1237,
8576,Cash loans,Unaccompanied,Other,-1077,10.0
8577,Revolving loans,Unaccompanied,Business Entity Type 3,-4408,
8578,Cash loans,Unaccompanied,Self-employed,-2056,
8579,Cash loans,Unaccompanied,Transport: type 4,-447,18.0
8580,Cash loans,Unaccompanied,Medicine,-1038,
8581,Cash loans,Unaccompanied,Trade: type 7,-1002,
8582,Cash loans,Unaccompanied,XNA,365243,
8583,Cash loans,Unaccompanied,Business Entity Type 1,-533,
8584,Cash loans,Unaccompanied,XNA,365243,
8585,Cash loans,Unaccompanied,Business Entity Type 3,-1046,
8586,Cash loans,Unaccompanied,Government,-4131,
8587,Cash loans,Unaccompanied,Postal,-1507,
8588,Cash loans,Family,Self-employed,-22,18.0
8589,Cash loans,Unaccompanied,XNA,365243,
8590,Cash loans,Unaccompanied,Business Entity Type 3,-1194,
8591,Revolving loans,Unaccompanied,Other,-1281,15.0
8592,Cash loans,Family,School,-7464,
8593,Cash loans,Unaccompanied,Bank,-310,
8594,Revolving loans,Family,XNA,365243,11.0
8595,Cash loans,Family,Business Entity Type 3,-1617,
8596,Cash loans,Unaccompanied,Business Entity Type 3,-3441,5.0
8597,Revolving loans,Unaccompanied,Government,-309,7.0
8598,Revolving loans,Unaccompanied,XNA,365243,
8599,Cash loans,Unaccompanied,XNA,365243,
8600,Cash loans,Unaccompanied,Industry: type 3,-2943,6.0
8601,Cash loans,Unaccompanied,Transport: type 4,-1235,
8602,Cash loans,Unaccompanied,Business Entity Type 3,-732,
8603,Cash loans,Family,Self-employed,-4135,
8604,Cash loans,Unaccompanied,Restaurant,-1865,16.0
8605,Cash loans,Unaccompanied,Industry: type 3,-3818,
8606,Cash loans,Unaccompanied,Trade: type 7,-213,4.0
8607,Cash loans,Unaccompanied,Construction,-2897,8.0
8608,Cash loans,Unaccompanied,Trade: type 3,-317,
8609,Cash loans,Unaccompanied,XNA,365243,
8610,Cash loans,Unaccompanied,XNA,365243,6.0
8611,Cash loans,Unaccompanied,Transport: type 4,-2119,4.0
8612,Cash loans,Family,Business Entity Type 2,-2194,
8613,Revolving loans,Family,Industry: type 7,-2570,11.0
8614,Cash loans,Unaccompanied,Business Entity Type 3,-1202,13.0
8615,Cash loans,Unaccompanied,School,-7861,
8616,Cash loans,Unaccompanied,Business Entity Type 1,-2625,
8617,Cash loans,Unaccompanied,School,-7009,14.0
8618,Revolving loans,Unaccompanied,Self-employed,-5145,
8619,Cash loans,Unaccompanied,Bank,-2748,
8620,Cash loans,Unaccompanied,Self-employed,-3435,
8621,Cash loans,Unaccompanied,XNA,365243,18.0
8622,Cash loans,Unaccompanied,Business Entity Type 3,-1306,64.0
8623,Cash loans,Family,Kindergarten,-1701,
8624,Cash loans,Unaccompanied,Business Entity Type 3,-834,4.0
8625,Cash loans,Unaccompanied,Industry: type 1,-1517,10.0
8626,Cash loans,Unaccompanied,Government,-2413,5.0
8627,Cash loans,Unaccompanied,Business Entity Type 3,-3016,10.0
8628,Cash loans,Family,Emergency,-6784,
8629,Revolving loans,Family,Medicine,-10798,
8630,Cash loans,Unaccompanied,School,-4307,
8631,Cash loans,Unaccompanied,XNA,365243,
8632,Cash loans,Unaccompanied,Culture,-4951,
8633,Cash loans,Unaccompanied,Kindergarten,-4360,
8634,Cash loans,Unaccompanied,Business Entity Type 3,-1741,10.0
8635,Cash loans,Unaccompanied,Self-employed,-3011,
8636,Revolving loans,Unaccompanied,Industry: type 1,-642,
8637,Cash loans,Unaccompanied,XNA,365243,2.0
8638,Cash loans,Unaccompanied,Business Entity Type 3,-3163,21.0
8639,Cash loans,Family,Military,-4578,4.0
8640,Cash loans,Unaccompanied,Business Entity Type 3,-203,10.0
8641,Cash loans,Family,XNA,365243,
8642,Cash loans,Unaccompanied,Business Entity Type 3,-3875,1.0
8643,Cash loans,Unaccompanied,Business Entity Type 3,-1409,
8644,Cash loans,Unaccompanied,Self-employed,-503,
8645,Cash loans,Unaccompanied,Industry: type 7,-183,
8646,Cash loans,Unaccompanied,Business Entity Type 1,-1453,
8647,Cash loans,Unaccompanied,Business Entity Type 3,-539,5.0
8648,Cash loans,Unaccompanied,XNA,365243,
8649,Cash loans,Unaccompanied,Self-employed,-1154,19.0
8650,Cash loans,Unaccompanied,Industry: type 6,-1458,2.0
8651,Cash loans,Unaccompanied,XNA,365243,9.0
8652,Cash loans,Unaccompanied,XNA,365243,
8653,Cash loans,Unaccompanied,Security Ministries,-5356,
8654,Cash loans,Unaccompanied,XNA,365243,
8655,Revolving loans,Unaccompanied,Kindergarten,-1978,
8656,Revolving loans,Unaccompanied,Business Entity Type 3,-199,
8657,Cash loans,Unaccompanied,Business Entity Type 3,-457,9.0
8658,Cash loans,Unaccompanied,Police,-1155,11.0
8659,Cash loans,Unaccompanied,Medicine,-1311,
8660,Cash loans,Unaccompanied,Business Entity Type 3,-3516,4.0
8661,Cash loans,Unaccompanied,Business Entity Type 3,-1421,
8662,Cash loans,Unaccompanied,Other,-1013,7.0
8663,Cash loans,Unaccompanied,XNA,365243,
8664,Cash loans,Unaccompanied,Business Entity Type 3,-579,
8665,Cash loans,Unaccompanied,Construction,-1444,4.0
8666,Cash loans,Unaccompanied,Business Entity Type 3,-1355,2.0
8667,Cash loans,Unaccompanied,Business Entity Type 2,-152,
8668,Revolving loans,Unaccompanied,Self-employed,-1639,
8669,Cash loans,Unaccompanied,Construction,-730,
8670,Cash loans,Unaccompanied,Business Entity Type 3,-552,
8671,Cash loans,Family,Business Entity Type 3,-841,
8672,Cash loans,Unaccompanied,Business Entity Type 3,-385,22.0
8673,Cash loans,Unaccompanied,Military,-1573,
8674,Revolving loans,Unaccompanied,Trade: type 3,-1005,
8675,Cash loans,Unaccompanied,Medicine,-1691,
8676,Cash loans,Unaccompanied,Government,-1136,
8677,Cash loans,Unaccompanied,Government,-771,
8678,Cash loans,Unaccompanied,Self-employed,-4715,
8679,Cash loans,Unaccompanied,University,-1911,
8680,Cash loans,Family,Business Entity Type 3,-5183,
8681,Cash loans,Children,XNA,365243,
8682,Cash loans,Other_B,Business Entity Type 2,-281,
8683,Cash loans,Unaccompanied,Business Entity Type 3,-2277,5.0
8684,Revolving loans,Unaccompanied,Culture,-955,
8685,Revolving loans,Unaccompanied,Postal,-3421,
8686,Cash loans,Unaccompanied,Self-employed,-3176,
8687,Cash loans,Unaccompanied,Business Entity Type 3,-520,
8688,Cash loans,Unaccompanied,XNA,365243,
8689,Revolving loans,Unaccompanied,Industry: type 4,-1144,
8690,Revolving loans,Unaccompanied,Government,-8314,
8691,Cash loans,Unaccompanied,XNA,365243,
8692,Cash loans,Unaccompanied,Business Entity Type 3,-194,13.0
